iter	RMSE
0	1.096672675
1	1.031482906
2	0.9885354603
3	0.9601671556
4	0.9406348942
5	0.9256750034
6	0.9148835653
7	0.908026212
8	0.901550768
9	0.895858674
10	0.8922909506
11	0.889815061
12	0.8849507378
13	0.8817584709
14	0.8800043576
15	0.8785048227
16	0.8771748031
17	0.8749360267
18	0.8737626436
19	0.8725523435
20	0.8713633824
21	0.870131273
22	0.8694539357
23	0.867027643
24	0.8659322633
25	0.8643947063
26	0.8633436502
27	0.8622626488
28	0.8615131554
29	0.8607156302
30	0.859757813
31	0.8578737615
32	0.85714149
33	0.8566843488
34	0.8549225825
35	0.8539644915
36	0.8535008815
37	0.8527526215
38	0.8509742774
39	0.850401589
40	0.8499273824
41	0.8494208331
42	0.8487839084
43	0.847495615
44	0.8465638961
45	0.8456634349
46	0.8450793962
47	0.8446254526
48	0.844218189
49	0.8438671912
50	0.8435450911
51	0.8429727857
52	0.8421845734
53	0.8418273089
54	0.8409622743
55	0.8406295469
56	0.8401391623
57	0.8398067005
58	0.8394870286
59	0.8389960082
60	0.8385749018
61	0.8381860741
62	0.8375776041
63	0.8373056128
64	0.8370507361
65	0.836600589
66	0.8362854177
67	0.83595911
68	0.8355588158
69	0.8352836672
70	0.8344073666
71	0.8339930124
72	0.8332787405
73	0.8330890899
74	0.8325740315
75	0.8323077366
76	0.8320349348
77	0.83173065
78	0.83147658
79	0.8312076287
80	0.8309908405
81	0.83066282
82	0.8304081822
83	0.8302144983
84	0.8300212926
85	0.8298758169
86	0.829728234
87	0.8293263865
88	0.8291518224
89	0.8289581972
90	0.8287215738
91	0.8284895495
92	0.8281310532
93	0.8278840787
94	0.8276746646
95	0.827303008
96	0.8269638538
97	0.8267474512
98	0.8264135043
99	0.8257455181
100	0.8254215795
101	0.8252396588
102	0.8250462362
103	0.8247531451
104	0.8246551257
105	0.8242650255
