iter	Passed	Remaining
0	727	727120
1	1412	704657
2	2082	692150
3	3009	749412
4	3763	748870
5	4722	782403
6	5422	769201
7	6139	761345
8	7013	772236
9	7740	766275
10	8437	758587
11	9180	755876
12	10027	761314
13	10818	761954
14	11614	762704
15	12248	753299
16	12942	748397
17	13739	749591
18	14601	753881
19	15371	753187
20	16097	750462
21	16876	750255
22	17679	751010
23	18397	748173
24	19097	744796
25	19902	745591
26	20599	742348
27	21287	738994
28	21972	735693
29	22673	733107
30	23352	729969
31	24253	733657
32	24983	732078
33	25894	735695
34	26582	732917
35	27374	733038
36	28082	730912
37	28936	732551
38	29689	731578
39	30380	729123
40	31137	728312
41	31812	725635
42	32456	722335
43	33378	725227
44	34211	726035
45	35277	731624
46	36313	736317
47	37318	740152
48	38310	743531
49	39289	746505
50	40119	746532
51	41000	747463
52	41921	749043
53	42735	748663
54	43694	750748
55	44508	750288
56	45356	750366
57	46239	750993
58	47122	751566
59	48120	753882
60	49202	757390
61	50142	758603
62	51044	759187
63	51704	756173
64	52531	755652
65	53499	757104
66	54437	758063
67	55203	756619
68	56083	756726
69	56933	756408
70	57795	756224
71	58570	754908
72	59338	753520
73	60049	751427
74	60860	750613
75	61581	748696
76	62242	746107
77	63088	745733
78	63812	743935
79	64567	742528
80	65233	740114
81	66005	738936
82	66663	736509
83	67403	735021
84	68189	734038
85	69153	734956
86	69780	732294
87	70634	732026
88	71403	730878
89	72203	730053
90	72807	727271
91	73503	725451
92	74238	724024
93	74943	722329
94	75869	722757
95	76754	722770
96	77425	720779
97	78140	719213
98	78845	717575
99	79680	717121
100	80394	715593
101	81375	716420
102	82429	717859
103	83345	718055
104	84118	717007
105	85270	719168
